customer_id,name,email,signup_date,country
1,Justin Barton,lacey_halvorson75@gmail.com,2025-05-04,Palestine
2,Garry Abshire-Jerde,deontae_bogisich@gmail.com,2024-02-22,Gibraltar
3,Nettie Schaden,eloise.fay@yahoo.com,2025-02-24,Martinique
4,Tonya Baumbach,monica_mcdermott52@yahoo.com,2024-12-10,American Samoa
5,Dr. Kerry Champlin,grover.pacocha76@yahoo.com,2025-07-30,Saint Kitts and Nevis
6,Inez Beer II,brain1@gmail.com,2025-08-19,Sint Maarten
7,Willie Trantow,kay89@hotmail.com,2024-01-22,Saint Martin
8,Jose Jacobi,sienna6@gmail.com,2024-10-27,Suriname
9,Miss Sherry Schneider,lola.strosin39@yahoo.com,2025-10-08,Bahamas
10,Matthew Walker,wilbert_mayert85@gmail.com,2024-07-23,Liberia
11,Lauren Carter,ally31@gmail.com,2024-06-20,Peru
12,Edmond Balistreri,afton.weber@gmail.com,2024-04-28,Cape Verde
13,Elmer Bosco,jeremie60@hotmail.com,2025-01-03,Kazakhstan
14,Valerie Barrows,nelda_kreiger@yahoo.com,2024-02-02,Mayotte
15,Dr. Alfredo Goyette,ursula.casper@yahoo.com,2025-08-04,Gambia
16,Rolando Jerde,amiya.auer69@yahoo.com,2024-08-19,Colombia
17,Roosevelt Schuppe,ellen_gibson63@hotmail.com,2024-03-04,Antarctica
18,Dennis Corkery,erin_rath@hotmail.com,2025-08-10,Hong Kong
19,Erik Rath,araceli_terry4@gmail.com,2024-03-12,Canada
20,Chad Gutkowski,kenneth_green5@yahoo.com,2025-05-15,Congo
21,Sylvester Johnson,amelie.willms90@hotmail.com,2025-06-03,Cote d'Ivoire
22,Brandon Kunze,tobin_waters@gmail.com,2024-04-01,New Zealand
23,Gene Hoppe,gabriel.doyle17@hotmail.com,2024-07-21,Kazakhstan
24,Hector Hudson,marcelo52@yahoo.com,2025-10-27,French Guiana
25,Jeremiah Lowe DDS,corene98@yahoo.com,2025-09-02,Turkey
26,Cecilia Effertz,seth_schultz@yahoo.com,2024-06-14,Indonesia
27,Simon Doyle,antonina52@gmail.com,2025-05-21,Paraguay
28,Dan Anderson,rose_herzog@yahoo.com,2025-07-16,Benin
29,Zachary Wehner,karlie67@hotmail.com,2025-01-23,Mauritania
30,Mr. Edmund Pfannerstill,magnolia76@hotmail.com,2025-10-18,Cuba
31,Greg Howell,oswald_carroll@hotmail.com,2025-09-15,India
32,Mr. Angelo Swaniawski,suzanne.mills@hotmail.com,2024-10-21,Uganda
33,Forrest Greenfelder,burley.west95@hotmail.com,2025-09-19,Israel
34,Frederick Heaney,orrin24@gmail.com,2023-11-19,Singapore
35,Guillermo Hettinger,karley_green@hotmail.com,2025-08-06,Pakistan
36,Susan Larson,jany.boehm@yahoo.com,2024-02-19,Palau
37,Jerome Smitham,dandre_wisozk@gmail.com,2025-11-07,Montenegro
38,Mr. Winston Okuneva,damion_christiansen@gmail.com,2025-08-23,Hong Kong
39,Dwight Jacobs,cassandre68@hotmail.com,2024-10-07,Mali
40,Marion Dare,destiny15@yahoo.com,2025-09-11,Faroe Islands
